Tokenizing,Formalisasi
"['aplikasi', 'selalu', 'terhenti', 'jadi', 'gak', 'bisa', 'di', 'buka', 'sudah', 'uninstal', 'dan', 'instal', 'lagi', 'yg', 'baru', 'tapi', 'tetap', 'aplikasi', 'terhenti', 'atau', 'aplikasi', 'myxl', 'tidak', 'menanggapi']","['aplikasi', 'selalu', 'terhenti', 'jadi', 'gak', 'bisa', 'di', 'buka', 'sudah', 'copot', 'dan', 'pasang', 'lagi', 'yang', 'baru', 'tapi', 'tetap', 'aplikasi', 'terhenti', 'atau', 'aplikasi', 'myxl', 'tidak', 'menanggapi']"
"['koneksi', 'internet', 'sering', 'hilang', 'dan', 'lemot', 'bisa', 'dari', 'pagi', 'sampe', 'malem', 'cuman', 'bisa', 'internetan', 'beberapa', 'menit', 'abis', 'itu', 'ilang', 'lagi', 'terus', 'aja', 'begitu', 'masalahnya', 'bukan', 'saya', 'doang', 'yg', 'begitu', 'orang', 'dekat', 'saya', 'juga', 'merasakannya']","['koneksi', 'internet', 'sering', 'hilang', 'dan', 'lelet', 'bisa', 'dari', 'pagi', 'sampai', 'malam', 'cuman', 'bisa', 'internet', 'beberapa', 'menit', 'habis', 'itu', 'hilang', 'lagi', 'terus', 'saja', 'begitu', 'masalahnya', 'bukan', 'saya', 'doang', 'yang', 'begitu', 'orang', 'dekat', 'saya', 'juga', 'merasakannya']"
"['tolong', 'dirubah', 'lagi', 'lah', 'untuk', 'penjualan', 'masa', 'aktif', 'kartu', 'cepet', 'banget', 'masa', 'tenggangnya', 'di', 'isi', 'ribu', 'ga', 'nyampe', 'sebulan', 'masa', 'aktif', 'dan', 'ada', 'juga', 'jualan', 'masa', 'aktif', 'saran', 'saya', 'buang', 'budaya', 'itu', 'saya', 'sebagai', 'pengguna', 'baru', 'cukup', 'kaget', 'dengan', 'kebijakan', 'seperti', 'itu', 'saya', 'tidak', 'sedang', 'membandingkan', 'dengan', 'provider', 'lain', 'hanya', 'saja', 'saya', 'ngasih', 'saran', 'terimakasij']","['tolong', 'dirubah', 'lagi', 'lah', 'untuk', 'penjualan', 'masa', 'aktif', 'kartu', 'cepat', 'banget', 'masa', 'tenggangnya', 'di', 'isi', 'ribu', 'ga', 'sampai', 'sebulan', 'masa', 'aktif', 'dan', 'ada', 'juga', 'jualan', 'masa', 'aktif', 'saran', 'saya', 'buang', 'budaya', 'itu', 'saya', 'sebagai', 'pengguna', 'baru', 'cukup', 'kaget', 'dengan', 'kebijakan', 'seperti', 'itu', 'saya', 'tidak', 'sedang', 'membandingkan', 'dengan', 'provider', 'lain', 'hanya', 'saja', 'saya', 'memberikan', 'saran', 'terima kasih']"
"['aplikasi', 'myxl', 'aga', 'pelit', 'ga', 'sepirti', 'myim', 'isi', 'ulang', 'pulsa', 'bner', 'sering', 'dapat', 'bonos', 'kouta', 'gb', 'smpai', 'gb', 'bner', 'yata']","['aplikasi', 'myxl', 'agak', 'pelit', 'ga', 'seperti', 'myim', 'isi', 'ulang', 'pulsa', 'bener', 'sering', 'dapat', 'boros', 'kouta', 'gb', 'sampai', 'gb', 'bener', 'yata']"
"['kenapa', 'setiap', 'saya', 'membuka', 'myxl', 'apk', 'nya', 'selalu', 'keluar', 'sendiri', 'dulu', 'biasa', 'aja', 'dipake', 'sekarang', 'kok', 'malah', 'gini', 'developer', 'tolong', 'segera', 'perbaiki']","['kenapa', 'setiap', 'saya', 'membuka', 'myxl', 'aplikasi', 'nya', 'selalu', 'keluar', 'sendiri', 'dulu', 'biasa', 'saja', 'dipake', 'sekarang', 'kok', 'bahkan', 'gini', 'developer', 'tolong', 'segera', 'perbaiki']"
"['mudah', 'dan', 'cepat', 'terima', 'kasih', 'sdh', 'melayani', 'saya', 'selama', 'lebih', 'dari', 'tahun', 'sekali', 'lagibterimankasih', 'xl']","['mudah', 'dan', 'cepat', 'terima', 'kasih', 'sdh', 'melayani', 'saya', 'selama', 'lebih', 'dari', 'tahun', 'sekali', 'terima kasih', 'xl']"
"['lebih', 'praktis', '&', 'cepat', 'untuk', 'top', 'up', 'cek', 'kuota', 'pulsa', 'dll']","['lebih', 'praktis', '&', 'cepat', 'untuk', 'top', 'up', 'cek', 'kuota', 'pulsa', 'dan lain lain']"
"['makin', 'jelek', 'aja', 'astaga', 'aplikasinyaa', 'tiap', 'mau', 'dibuka', 'loadingnya', 'lama', 'dan', 'keluar', 'sendiri', 'terus', 'sblm', 'sempet', 'aktifkan', 'kuota', 'unlimitednya', 'sampe', 'saya', 'hapus', 'terus', 'dwnload', 'lagi', 'apk', 'nya', 'tp', 'ttp', 'aja', 'ngak', 'bisa', 'login', 'ke', 'menunya', 'parah']","['makin', 'jelek', 'saja', 'astaga', 'aplikasi', 'tiap', 'mau', 'dibuka', 'menunggu', 'lama', 'dan', 'keluar', 'sendiri', 'terus', 'sebelum', 'sempat', 'aktifkan', 'kuota', 'unlimited', 'sampai', 'saya', 'hapus', 'terus', 'unduh', 'lagi', 'aplikasi', 'nya', 'tapi', 'ttp', 'saja', 'tidak', 'bisa', 'login', 'ke', 'menunya', 'parah']"
"['aplikasi', 'xl', 'anlimited', 'bisa', 'untuk', 'ambil', 'bonus', 'di', 'saat', 'kita', 'baru', 'isi', 'ulang']","['aplikasi', 'xl', 'unlimited', 'bisa', 'untuk', 'ambil', 'bonus', 'di', 'saat', 'kita', 'baru', 'isi', 'ulang']"
"['tolong', 'untuk', 'di', 'tingkat', 'kan', 'lg', 'sinyal', 'nya', 'krn', 'semenjak', 'xl', 'di', 'beli', 'sm', 'axis', 'sinyal', 'nye', 'jd', 'makin', 'parah', 'bgt']","['tolong', 'untuk', 'di', 'tingkat', 'kan', 'lagi', 'sinyal', 'nya', 'karena', 'semenjak', 'xl', 'di', 'beli', 'sm', 'axis', 'sinyal', 'nye', 'jadi', 'makin', 'parah', 'banget']"
