CaseFolding,Tokenizing
sinyal benerin bos setiap ujan aja jelek nh sinyal  padahal di jakarta barat  paket aja di mahalin  kualitas sama kaya yang murah,"['sinyal', 'benerin', 'bos', 'setiap', 'ujan', 'aja', 'jelek', 'nh', 'sinyal', 'padahal', 'di', 'jakarta', 'barat', 'paket', 'aja', 'di', 'mahalin', 'kualitas', 'sama', 'kaya', 'yang', 'murah']"
kenapa saya melakukan pembelian paket yang sama tetapi jumlah kuota tidak bertambah malah tergantikan oleh yang baru,"['kenapa', 'saya', 'melakukan', 'pembelian', 'paket', 'yang', 'sama', 'tetapi', 'jumlah', 'kuota', 'tidak', 'bertambah', 'malah', 'tergantikan', 'oleh', 'yang', 'baru']"
sangat membantu  dan paket nya murah meriah  pas di kantong,"['sangat', 'membantu', 'dan', 'paket', 'nya', 'murah', 'meriah', 'pas', 'di', 'kantong']"
isinya  % komentar negatif semua  dan semua dijawab silahkan hubungi maya myxl dll  jawabannya sama semua  mohon maaf dan silahkan hubungi costumer service  jadi ragu mau lanjut,"['isinya', '%', 'komentar', 'negatif', 'semua', 'dan', 'semua', 'dijawab', 'silahkan', 'hubungi', 'maya', 'myxl', 'dll', 'jawabannya', 'sama', 'semua', 'mohon', 'maaf', 'dan', 'silahkan', 'hubungi', 'costumer', 'service', 'jadi', 'ragu', 'mau', 'lanjut']"
aplikasi ini juga bisa digunakan sebagai bahan dasar pembuatan website toko online seperti pulsa & paket,"['aplikasi', 'ini', 'juga', 'bisa', 'digunakan', 'sebagai', 'bahan', 'dasar', 'pembuatan', 'website', 'toko', 'online', 'seperti', 'pulsa', '&', 'paket']"
coba perbaiki masa gk bisa ambil hadiah tar saya kasih bintang untuk sekrang dlu,"['coba', 'perbaiki', 'masa', 'gk', 'bisa', 'ambil', 'hadiah', 'tar', 'saya', 'kasih', 'bintang', 'untuk', 'sekrang', 'dlu']"
mulai kumat nggak stabil  untuk daerah pelosok masih belum ada jaringam yg bagus,"['mulai', 'kumat', 'nggak', 'stabil', 'untuk', 'daerah', 'pelosok', 'masih', 'belum', 'ada', 'jaringam', 'yg', 'bagus']"
jaringannya hancur banget terutama jaringan internet  apalagi untuk daerah pedesaan padahal daerah pedesaan rata pakai xl tapi jaringannya tidak pernah di perhatikan  tower dekat tapi jaringan buruk,"['jaringannya', 'hancur', 'banget', 'terutama', 'jaringan', 'internet', 'apalagi', 'untuk', 'daerah', 'pedesaan', 'padahal', 'daerah', 'pedesaan', 'rata', 'pakai', 'xl', 'tapi', 'jaringannya', 'tidak', 'pernah', 'di', 'perhatikan', 'tower', 'dekat', 'tapi', 'jaringan', 'buruk']"
tolong promo kuotanya lebih di banyakin  kalau terlalu mahal bisa ganti perdana lain  terimakasih,"['tolong', 'promo', 'kuotanya', 'lebih', 'di', 'banyakin', 'kalau', 'terlalu', 'mahal', 'bisa', 'ganti', 'perdana', 'lain', 'terimakasih']"
lebih gampang milih paketnya  keterangannya juga jelas banget  mantap deh,"['lebih', 'gampang', 'milih', 'paketnya', 'keterangannya', 'juga', 'jelas', 'banget', 'mantap', 'deh']"
my xl masih belum bisa digunakan  udah beberapa kali bilang ke maya  bilangnya suruh di uninstall lalu coba download lagi hapus data udah di lakuin semua bahkan sampe beberapa kali masih tetap gak bisa padahal saya pengguna lama  karna saya ganti hp  saya download di hp baru malahan kga bisa dan gak ngebantu juga si maya  terpaksa ganti kartu kecewa aku,"['my', 'xl', 'masih', 'belum', 'bisa', 'digunakan', 'udah', 'beberapa', 'kali', 'bilang', 'ke', 'maya', 'bilangnya', 'suruh', 'di', 'uninstall', 'lalu', 'coba', 'download', 'lagi', 'hapus', 'data', 'udah', 'di', 'lakuin', 'semua', 'bahkan', 'sampe', 'beberapa', 'kali', 'masih', 'tetap', 'gak', 'bisa', 'padahal', 'saya', 'pengguna', 'lama', 'karna', 'saya', 'ganti', 'hp', 'saya', 'download', 'di', 'hp', 'baru', 'malahan', 'kga', 'bisa', 'dan', 'gak', 'ngebantu', 'juga', 'si', 'maya', 'terpaksa', 'ganti', 'kartu', 'kecewa', 'aku']"
bgs eh tapi boong ,"['bgs', 'eh', 'tapi', 'boong']"
dari dulu sejak sekolah sma selalu pakai xl tolong ya kak jaringan xl di stabilkan lagi sukses slalu xl axiata,"['dari', 'dulu', 'sejak', 'sekolah', 'sma', 'selalu', 'pakai', 'xl', 'tolong', 'ya', 'kak', 'jaringan', 'xl', 'di', 'stabilkan', 'lagi', 'sukses', 'slalu', 'xl', 'axiata']"
saya mau melakukan pembelian paket tapi kenapa tidak bisa heran terjadi kesalahan maksudnya apa makin lama xl makin ngk jelas,"['saya', 'mau', 'melakukan', 'pembelian', 'paket', 'tapi', 'kenapa', 'tidak', 'bisa', 'heran', 'terjadi', 'kesalahan', 'maksudnya', 'apa', 'makin', 'lama', 'xl', 'makin', 'ngk', 'jelas']"
kartu xl makin lama sinyal nya makin kayak sampah mau di mana aja di bawa pasti sama aja sinyal nya hilang hilang kecewa berat pakai kartu ini maaf buat provider xl saya gak mau pakai kartu anda lagi merasa rugi,"['kartu', 'xl', 'makin', 'lama', 'sinyal', 'nya', 'makin', 'kayak', 'sampah', 'mau', 'di', 'mana', 'aja', 'di', 'bawa', 'pasti', 'sama', 'aja', 'sinyal', 'nya', 'hilang', 'hilang', 'kecewa', 'berat', 'pakai', 'kartu', 'ini', 'maaf', 'buat', 'provider', 'xl', 'saya', 'gak', 'mau', 'pakai', 'kartu', 'anda', 'lagi', 'merasa', 'rugi']"
aplikasi berjalan dengan baik  cuman lebih di tingkatkan kualitas app nya  jgn kalau log in atau memulai transaksi malah mengalami gangguan,"['aplikasi', 'berjalan', 'dengan', 'baik', 'cuman', 'lebih', 'di', 'tingkatkan', 'kualitas', 'app', 'nya', 'jgn', 'kalau', 'log', 'in', 'atau', 'memulai', 'transaksi', 'malah', 'mengalami', 'gangguan']"
heran saya awalnya signal xl baik  saja walau kadang naik turun hari ini kenapa susah sekali yaa signal xl sampe gak ada signal yang muncul di layar hape,"['heran', 'saya', 'awalnya', 'signal', 'xl', 'baik', 'saja', 'walau', 'kadang', 'naik', 'turun', 'hari', 'ini', 'kenapa', 'susah', 'sekali', 'yaa', 'signal', 'xl', 'sampe', 'gak', 'ada', 'signal', 'yang', 'muncul', 'di', 'layar', 'hape']"
alhamdulilah pelayanan mulai membaik  sekarang sudah bisa transaksi pembelian di aplikasi myxl  terus tingkatkan pelayanan,"['alhamdulilah', 'pelayanan', 'mulai', 'membaik', 'sekarang', 'sudah', 'bisa', 'transaksi', 'pembelian', 'di', 'aplikasi', 'myxl', 'terus', 'tingkatkan', 'pelayanan']"
tolong apk nya di perbaiki kembali  dikarnakan sering lag saat melakukan transaksi maupun pengecekan data  semoga segera di perbaiki agar pengguna yang lain puas,"['tolong', 'apk', 'nya', 'di', 'perbaiki', 'kembali', 'dikarnakan', 'sering', 'lag', 'saat', 'melakukan', 'transaksi', 'maupun', 'pengecekan', 'data', 'semoga', 'segera', 'di', 'perbaiki', 'agar', 'pengguna', 'yang', 'lain', 'puas']"
terimakasih admin  aplikasi ini sangat membantu saya sebagai pelanggan kartu xl,"['terimakasih', 'admin', 'aplikasi', 'ini', 'sangat', 'membantu', 'saya', 'sebagai', 'pelanggan', 'kartu', 'xl']"
