Ulasan,Term,TF,IDF,TF-IDF
 ulasan9,lancar,2,3.9575110607337933,0.5426428807853432
 ulasan9,online,1,4.91302250576123,0.33682997280052734
 ulasan9,ruang,1,6.29931686688112,0.4318723812979392
 ulasan9,tidak,1,2.039457866181446,0.13982238770291996
 ulasan9,xl,1,1.5808179955860258,0.10837867765340596
 ulasan10,anjing,1,5.13616605707544,0.4078817279912069
 ulasan10,enak,1,5.200704578213011,0.41300696795250574
 ulasan10,game,2,3.674648274717961,0.5836345131353897
 ulasan10,ganggu,1,4.474767574830074,0.3553576559827931
 ulasan10,main,1,3.674648274717961,0.29181725656769486
 ulasan10,melulu,1,4.195182712610913,0.3331547997170694
 ulasan11,alias,2,6.52246041819533,0.506805929482283
 ulasan11,apa,1,4.689878954447019,0.1822056639881888
 ulasan11,bo,1,6.810142490647111,0.26457965043766085
 ulasan11,bodoh,1,5.6061696863211745,0.21780431436466513
 ulasan11,bonus,1,3.5912666657789103,0.13952367081381295
 ulasan11,gak,2,2.7612603025017677,0.21455447859032595
 ulasan11,gitu,1,4.353406717825807,0.16913344018824902
 ulasan11,hilang,1,3.2082744135228043,0.1246441060526615
 ulasan11,isi,1,3.172556330920725,0.12325642909551407
 ulasan11,iya,2,2.932021036894646,0.2278228692227378
 ulasan11,kacau,1,5.711530201979001,0.22189765726328498
 ulasan11,kecewa,1,3.2547944291576973,0.12645144701387317
 ulasan11,langgan,1,4.91302250576123,0.1908749749292176
 ulasan11,notifikasi,1,5.4238481295272205,0.21072097156676564
 ulasan11,oh,1,6.52246041819533,0.2534029647411415
 ulasan11,ong,1,6.810142490647111,0.26457965043766085
 ulasan11,pulsa,1,2.7213689734744655,0.1057274282737295
 ulasan11,registrasi,1,5.829313237635384,0.2264736253056939
 ulasan11,ribet,1,5.343805421853684,0.20761124638180323
 ulasan11,tidak,1,2.039457866181446,0.07923461954837176
 ulasan11,ulang,1,3.9575110607337933,0.15375256751090804
 ulasan12,adu,1,5.962844630259907,0.18387939521606442
 ulasan12,agen,2,5.343805421853684,0.32957951114012224
 ulasan12,antri,1,5.829313237635384,0.17976161700102383
 ulasan12,bantu,1,4.03755376840733,0.12450818210480878
 ulasan12,batas,1,5.51085950651685,0.16994129077866796
 ulasan12,cepat,2,3.9575110607337933,0.2440797255443151
 ulasan12,cs,1,4.773260563386071,0.14719556185482305
 ulasan12,gerak,2,7.215607598755275,0.4450230195978548
 ulasan12,isi,1,3.172556330920725,0.09783379839517496
 ulasan12,kalah,1,5.343805421853684,0.16478975557006112
 ulasan12,masalah,1,5.269697449699962,0.16250444881711265
 ulasan12,maya,2,4.3252358408591105,0.2667591728108981
 ulasan12,nya,1,2.1625515887750675,0.06668774769839443
 ulasan12,online,1,4.91302250576123,0.15150547482953805
 ulasan12,peduli,1,5.51085950651685,0.16994129077866796
 ulasan12,pulsa,1,2.7213689734744655,0.08392029509922605
 ulasan12,respon,1,5.075541435259004,0.15651715705844602
 ulasan12,robot,1,5.51085950651685,0.16994129077866796
 ulasan12,sedikit,1,7.215607598755275,0.2225115097989274
 ulasan12,selesai,1,5.269697449699962,0.16250444881711265
 ulasan12,shopee,1,6.116995310087166,0.18863302130166412
 ulasan12,sm,1,5.829313237635384,0.17976161700102383
 ulasan12,sungguh,1,6.52246041819533,0.2011365633999756
 ulasan12,tenggang,1,5.962844630259907,0.18387939521606442
 ulasan12,terima,1,2.9599948889370524,0.09127892872779128
 ulasan12,tidak,2,2.039457866181446,0.125783682874777
 ulasan12,tolong,1,2.506077397442941,0.07728123484350637
 ulasan12,xl,1,1.5808179955860258,0.048748521049819735
 ulasan13,bayar,1,4.271168619588835,0.29737388106218665
 ulasan13,bca,1,6.810142490647111,0.47414623102030334
 ulasan13,beli,1,2.3674912341567946,0.16483312165504854
 ulasan13,kasih,2,2.71579792842501,0.378166933729784
 ulasan13,mantap,1,4.91302250576123,0.3420620210551955
 ulasan13,myxl,1,3.4201184095830808,0.23812075235930655
 ulasan13,pulsa,1,2.7213689734744655,0.18947134274512084
 ulasan13,terima,1,2.9599948889370524,0.20608532381757913
 ulasan13,va,1,7.215607598755275,0.502376147366952
 ulasan13,xl,1,1.5808179955860258,0.11006214562552599
 ulasan14,aplikasi,1,2.225175011976539,0.07483718147493305
 ulasan14,atur,1,5.711530201979001,0.19209042880873867
 ulasan14,awam,1,7.215607598755275,0.2426756243502378
 ulasan14,bersih,1,6.810142490647111,0.22903900443768058
 ulasan14,fitur,1,4.3252358408591105,0.1454665173759693
 ulasan14,internal,1,6.52246041819533,0.21936366863385312
