Formalisasi,Stopword Removal
"['koneksi', 'internet', 'sering', 'hilang', 'dan', 'lelet', 'bisa', 'dari', 'pagi', 'sampai', 'malam', 'cuman', 'bisa', 'internet', 'beberapa', 'menit', 'habis', 'itu', 'hilang', 'lagi', 'terus', 'saja', 'begitu', 'masalahnya', 'bukan', 'saya', 'doang', 'yang', 'begitu', 'orang', 'dekat', 'saya', 'juga', 'merasakannya']","['koneksi', 'internet', 'hilang', 'lelet', 'pagi', 'malam', 'cuman', 'internet', 'menit', 'habis', 'hilang', 'bukan', 'doang', 'orang', 'merasakannya']"
"['tolong', 'dirubah', 'lagi', 'lah', 'untuk', 'penjualan', 'masa', 'aktif', 'kartu', 'cepat', 'banget', 'masa', 'tenggangnya', 'di', 'isi', 'ribu', 'ga', 'sampai', 'sebulan', 'masa', 'aktif', 'dan', 'ada', 'juga', 'jualan', 'masa', 'aktif', 'saran', 'saya', 'buang', 'budaya', 'itu', 'saya', 'sebagai', 'pengguna', 'baru', 'cukup', 'kaget', 'dengan', 'kebijakan', 'seperti', 'itu', 'saya', 'tidak', 'sedang', 'membandingkan', 'dengan', 'provider', 'lain', 'hanya', 'saja', 'saya', 'memberikan', 'saran', 'terima kasih']","['tolong', 'dirubah', 'penjualan', 'aktif', 'kartu', 'cepat', 'banget', 'tenggangnya', 'isi', 'ribu', 'ga', 'sebulan', 'aktif', 'jualan', 'aktif', 'saran', 'buang', 'budaya', 'pengguna', 'kaget', 'kebijakan', 'tidak', 'membandingkan', 'provider', 'saran', 'terima kasih']"
"['aplikasi', 'myxl', 'agak', 'pelit', 'ga', 'seperti', 'myim', 'isi', 'ulang', 'pulsa', 'bener', 'sering', 'dapat', 'boros', 'kouta', 'gb', 'sampai', 'gb', 'bener', 'yata']","['aplikasi', 'myxl', 'pelit', 'ga', 'myim', 'isi', 'ulang', 'pulsa', 'bener', 'boros', 'kouta', 'bener', 'yata']"
"['kenapa', 'setiap', 'saya', 'membuka', 'myxl', 'aplikasi', 'nya', 'selalu', 'keluar', 'sendiri', 'dulu', 'biasa', 'saja', 'dipake', 'sekarang', 'kok', 'bahkan', 'gini', 'developer', 'tolong', 'segera', 'perbaiki']","['membuka', 'myxl', 'aplikasi', 'nya', 'dipake', 'gini', 'developer', 'tolong', 'perbaiki']"
"['mudah', 'dan', 'cepat', 'terima', 'kasih', 'sdh', 'melayani', 'saya', 'selama', 'lebih', 'dari', 'tahun', 'sekali', 'terima kasih', 'xl']","['mudah', 'cepat', 'terima', 'kasih', 'sdh', 'melayani', 'terima kasih', 'xl']"
"['lebih', 'praktis', '&', 'cepat', 'untuk', 'top', 'up', 'cek', 'kuota', 'pulsa', 'dan lain lain']","['praktis', '&', 'cepat', 'top', 'up', 'cek', 'kuota', 'pulsa', 'dan lain lain']"
"['makin', 'jelek', 'saja', 'astaga', 'aplikasi', 'tiap', 'mau', 'dibuka', 'menunggu', 'lama', 'dan', 'keluar', 'sendiri', 'terus', 'sebelum', 'sempat', 'aktifkan', 'kuota', 'unlimited', 'sampai', 'saya', 'hapus', 'terus', 'unduh', 'lagi', 'aplikasi', 'nya', 'tapi', 'ttp', 'saja', 'tidak', 'bisa', 'login', 'ke', 'menunya', 'parah']","['jelek', 'astaga', 'aplikasi', 'dibuka', 'menunggu', 'aktifkan', 'kuota', 'unlimited', 'hapus', 'unduh', 'aplikasi', 'nya', 'ttp', 'tidak', 'login', 'menunya', 'parah']"
"['aplikasi', 'xl', 'unlimited', 'bisa', 'untuk', 'ambil', 'bonus', 'di', 'saat', 'kita', 'baru', 'isi', 'ulang']","['aplikasi', 'xl', 'unlimited', 'ambil', 'bonus', 'isi', 'ulang']"
"['tolong', 'untuk', 'di', 'tingkat', 'kan', 'lagi', 'sinyal', 'nya', 'karena', 'semenjak', 'xl', 'di', 'beli', 'sm', 'axis', 'sinyal', 'nye', 'jadi', 'makin', 'parah', 'banget']","['tolong', 'tingkat', 'sinyal', 'nya', 'semenjak', 'xl', 'beli', 'sm', 'axis', 'sinyal', 'nye', 'parah', 'banget']"
"['ga', 'ada', 'perubahan', 'masih', 'lambat', 'saja', 'ini', 'xl', 'tutup', 'saja', 'perusahaan', 'xl', 'ga', 'guna']","['ga', 'perubahan', 'lambat', 'xl', 'tutup', 'perusahaan', 'xl', 'ga']"
