Stopword Removal,Stemming
"['mantap', 'kritik', 'saran', 'didengar', 'xl', 'ga', 'takut', 'pulsanya', 'hilang', 'sms', 'langganan', 'tidak', 'terkuras', 'internet', 'diluar', 'kuota', 'bagus', 'kerja', 'tinggal', 'perbaiki', 'jaringan', 'ditempat']",mantap kritik saran dengar xl ga takut pulsa hilang sms langgan tidak kuras internet luar kuota bagus kerja tinggal baik jaring tempat
"['assalamualaikum', 'xl', 'terhormat', 'mohon', 'bantuannya', 'memasukkan', 'nomor', 'klik', 'lanjutkan', 'muncul', 'tulisan', 'kesalahan', 'maaf', 'masuk', 'layanan', 'myxl', 'silakan', 'coba', 'kode', 'mohon', 'bantuannya', 'terima', 'kasih']",assalamualaikum xl hormat mohon bantu masuk nomor klik lanjut muncul tulis salah maaf masuk layan myxl sila coba kode mohon bantu terima kasih
"['jaringan', 'nya', 'bagus', 'banget', 'bohong']",jaring nya bagus banget bohong
"['pulsa', 'terpotong', 'wifi', 'tidak', 'hutang', 'pulsa', 'xl', 'tolong', 'maya', 'tidak', 'balasan']",pulsa potong wifi tidak hutang pulsa xl tolong maya tidak balas
"['bagus', 'lelet', 'jaringannya', 'pas', 'pakai', 'xl', 'suka', 'jaringannya', 'bagus', 'jaringan', 'loading', 'baterai', 'habis', 'miris']",bagus lelet jaring pas pakai xl suka jaring bagus jaring loading baterai habis miris
"['tidak', 'pengaturan', 'non', 'aktif', 'paket', 'beli', 'menghilangkan', 'paket', 'aktif', 'mengaktifkan', 'paket', 'ga', 'otomatis', 'memilih', 'paket']",tidak atur non aktif paket beli hilang paket aktif aktif paket ga otomatis pilih paket
"['persulit', 'xl', 'prabayar', 'tagihan', 'bayar', 'proses', 'nya', 'pas', 'daftar', 'xl', 'pascabayar', 'proses', 'nya', 'gak', 'intinya', 'xl', 'prabayar', 'kasih', 'bintang']",sulit xl prabayar tagih bayar proses nya pas daftar xl pascabayar proses nya gak inti xl prabayar kasih bintang
"['membantu', 'beli', 'paket', 'kuota', 'cek', 'status', 'kuota', 'sayang', 'paket', 'aktif', 'berkurang', 'duluan', 'aktifnya', 'aneh', 'sii', 'mohon', 'diperhatikan', 'diperbaiki', 'yaa', 'terima kasih']",bantu beli paket kuota cek status kuota sayang paket aktif kurang duluan aktif aneh sii mohon perhati baik yaa terima kasih
"['kolom', 'nol', 'bintang', 'pilih', 'kolom', 'nol', 'bintang', 'tidak', 'bintang', 'sinyal', 'lambat', 'lelet', 'ditambah', 'listrik', 'pln', 'mati', 'aliran', 'lelet', 'lambat']",kolom nol bintang pilih kolom nol bintang tidak bintang sinyal lambat lelet tambah listrik pln mati alir lelet lambat
"['sinyal', 'drop', 'sinyalnya', 'hilang', 'dijalan', 'cuaca', 'cerah', 'gak', 'mati', 'listrik', 'gagal', 'memuat', 'data', 'aplikasi', 'tidak', 'beli', 'paket', 'internet', 'harga', 'paket', 'internet', 'mahal', 'kualitas', 'tidak', 'sesuai', 'ping', 'internet', 'tidak', 'stabil', 'pengguna', 'sabar', 'rekomendasi', 'provider', 'semoga', 'kedepannya']",sinyal drop sinyal hilang jalan cuaca cerah gak mati listrik gagal muat data aplikasi tidak beli paket internet harga paket internet mahal kualitas tidak sesuai ping internet tidak stabil guna sabar rekomendasi provider moga depan
"['aplikasi', 'aplikasi', 'error', 'xtra', 'kombo', 'plus', 'tidak', 'buka', 'bonus', 'tidak', 'terbaik', 'semoga', 'membantu']",aplikasi aplikasi error xtra kombo plus tidak buka bonus tidak baik moga bantu
"['gunanya', 'program', 'swadaya', 'mitra', 'pengendara', 'ojek online', 'tidak', 'akses', 'desember', 'halaman', 'tidak', 'akses', 'aplikasi', 'my', 'xl', 'pilihan', 'paket', 'tidak', 'tampil', 'bodoh', 'konsumen', 'xl', 'tidak', 'bonus', 'hadiah', 'apapun', 'kecewa']",guna program swadaya mitra kendara ojek online tidak akses desember halaman tidak akses aplikasi my xl pilih paket tidak tampil bodoh konsumen xl tidak bonus hadiah apa kecewa
"['terbaru', 'lumayan', 'bagus', 'fitur', '*', 'kontrol', 'pulsa', '*', 'tingkatkan', 'fiturnya', 'fitur', 'langsung', 'pesan', 'asisten', 'virtual', 'maya', 'lumayan', 'bagus', 'mengakses', 'nya', 'lelet', 'fitur', 'cek', 'area', 'perangkat', 'volte', 'mengalami', 'nge', 'bug', 'disaat', 'mengalami', 'peningkatan', 'suhu', 'perangkat']",baru lumayan bagus fitur  kontrol pulsa  tingkat fiturnya fitur langsung pesan asisten virtual maya lumayan bagus akses nya lelet fitur cek area perangkat volte alami nge bug saat alami tingkat suhu perangkat
"['lumayan', 'suka', 'pakai', 'kartu', 'xl', 'axiata', 'membantu', 'jaringan', 'hilang', 'mohon', 'jaringan', 'tingkatkan', 'kasih', 'bagus', 'jaringan', 'terima', 'kasih']",lumayan suka pakai kartu xl axiata bantu jaring hilang mohon jaring tingkat kasih bagus jaring terima kasih
"['sinyal', 'xl', 'sungguh', 'hancur', 'daerah', 'gresik', 'kecamatan', 'besok', 'kadang', 'main', 'game', 'alhasil', 'main', 'game', 'online', 'amburadul', 'kalah', 'gara', 'sinyal', 'hancur', 'tolong', 'perbaiki', 'gak', 'kalah', 'gini', 'nomor', 'xl', 'hanguskan', 'biar', 'jera']",sinyal xl sungguh hancur daerah gresik camat besok kadang main game alhasil main game online amburadul kalah gara sinyal hancur tolong baik gak kalah gin nomor xl hangus biar jera
"['aplikasi', 'bagus', 'sinyal', 'jelek', 'banget', 'pagi', 'hujan', 'jalan', 'baturaja', 'jakarta', 'bully', 'sm', 'rekan', 'krj', 'pke', 'xl', 'bukan', 'ngomong', 'masukan', 'xl', 'ttp', 'pke', 'xl']",aplikasi bagus sinyal jelek banget pagi hujan jalan baturaja jakarta bully sm rekan krj pke xl bukan ngomong masuk xl ttp pke xl
"['beli', 'paket', 'data', 'kosong', 'terbaru', 'hapus', 'data', 'tetep', 'nihil', 'my', 'xl', 'jaringan', 'lumayan', 'tidak', 'beli', 'paket']",beli paket data kosong baru hapus data tetep nihil my xl jaring lumayan tidak beli paket
"['aplikasi', 'nya', 'sinyalnya', 'sih', 'pas', 'buka', 'tulisan', 'coba', 'coba', 'coba', 'gitu', 'kayaknya', 'duanya', 'dech']",aplikasi nya sinyal sih pas buka tulis coba coba coba gitu kayak dua dech
"['pengguna', 'kartu', 'perdana', 'xl', 'kecewa', 'kali', 'isi', 'pulsa', 'terpotong', 'harinya', 'tidak', 'anehnya', 'sms', 'menikmati', 'internet', 'tarif', 'normal', 'rupiah', 'ribu', 'mb', 'youtube', 'kuota', 'pilih', 'paket', 'xtra', 'kombo', '*', 'jaringan', 'seluler', 'perdana', 'kejadian', 'bukan', 'mengalaminya']",guna kartu perdana xl kecewa kali isi pulsa potong hari tidak aneh sms nikmat internet tarif normal rupiah ribu mb youtube kuota pilih paket xtra kombo  jaring seluler perdana jadi bukan alam
"['tanggal', 'jaringan', 'jelek', 'banget', 'pakai', 'xl', 'lebih baik', 'jangan', 'xl', 'hancur', 'hancur', 'gak', 'perbaikan', 'sinyal', 'nonton', 'youtube', 'lelet', 'kebayangkan', 'pesan', 'kayak', 'xl', 'cacat']",tanggal jaring jelek banget pakai xl lebih baik jangan xl hancur hancur gak baik sinyal nonton youtube lelet bayang pesan kayak xl cacat
"['mohon', 'infokan', 'daftar', 'kuota', 'kuota', 'hilang', 'kuota', 'tidak', 'tolong', 'kembalikan', 'kuota']",mohon info daftar kuota kuota hilang kuota tidak tolong kembali kuota
"['mohon', 'maaf', 'pas', 'kena', 'terbaru', 'gagal', 'memuat', 'paket', 'dirusuh', 'bikin', 'pin', 'pas', 'bikin', 'pin', 'e', 'error', 'kode', 'verifikasi', 'pas', 'sya', 'app', 'bencana', 'adik', 'adik']",mohon maaf pas kena baru gagal muat paket rusuh bikin pin pas bikin pin e error kode verifikasi pas sya app bencana adik adik
"['aplikasinya', 'bagus', 'top', 'xl', 'kasih', 'bintang', 'nya', 'iya', 'tolong', 'perbaiki', 'aplikasinya']",aplikasi bagus top xl kasih bintang nya iya tolong baik aplikasi
"['hati', 'hati', 'xl', 'bermasalah', 'jaringan', 'internet', 'pelangganpun', 'cepat', 'meninggalkanmu', 'beralih', 'provider', 'merah', 'bintang', 'naikan']",hati hati xl masalah jaring internet langgan cepat tinggal alih provider merah bintang naik
"['sinyal', 'buruk', 'kuota', 'tidak', 'habis', 'sinyal', 'mati', 'berjam', 'berulang', 'harinya', 'bar', 'sinyal', 'tidak', 'sambung', 'jaringan', 'internet', 'pajangan', 'uda', 'hubungi', 'maya', 'ga', 'perubahan', 'mengecewakan']",sinyal buruk kuota tidak habis sinyal mati jam ulang hari bar sinyal tidak sambung jaring internet pajang uda hubung maya ga ubah kecewa
"['xl', 'tolong', 'konfirmasinya', 'iya', 'beli', 'unlimited', 'premium', 'harga', 'sebulan', 'tolong', 'tanggung', 'bukan', 'kalinya', 'iya']",xl tolong konfirmasi iya beli unlimited premium harga bulan tolong tanggung bukan kali iya
"['langsung', 'pesan', 'mohon', 'diperbaiki', 'pelayanannya', 'tolong', 'dipercepat', 'kasih', 'menunggu', 'antrian', 'giliran', 'pelayanannya', 'lambat', 'terima', 'kasih']",langsung pesan mohon baik layan tolong cepat kasih tunggu antri gilir layan lambat terima kasih
"['aplikasi', 'nya', 'berat', 'buka', 'banget', 'muter', 'nya', 'promo', 'nya', 'suka', 'tingkat', 'promo', 'nya', 'sinyal', 'nya', 'bagus', 'daerah', 'ku']",aplikasi nya berat buka banget muter nya promo nya suka tingkat promo nya sinyal nya bagus daerah ku
"['pengguna', 'masuk', 'myxl', 'gmn', 'mengklaim', 'unlimited', 'beli', 'paketan', 'masuk', 'app', 'gak', 'detik', 'gak', 'udh', 'berminggu']",guna masuk myxl gmn klaim unlimited beli paket masuk app gak detik gak udh minggu
"['terkadang', 'aplikasinya', 'suka', 'susah', 'buka', 'terbaru', 'sisa', 'kuota', 'paketnya', 'suka', 'berubah', 'ubah', 'membantu', 'ditingkatkan', 'aplikasi', 'nya', 'min', 'konsumen', 'puas', 'unduh', 'aplikasi']",terkadang aplikasi suka susah buka baru sisa kuota paket suka ubah ubah bantu tingkat aplikasi nya min konsumen puas unduh aplikasi
"['bintangnya', 'jujur', 'pembagian', 'kuota', 'youtube', 'buka', 'youtube', 'kesedot', 'kuota', 'utama', 'kuota', 'utama', 'habis', 'tidak', 'buka', 'youtube', 'paketan', 'kuota', 'youtube', 'utuh', 'pembodohan', 'tolong', 'kenyamanan', 'kepercayaan', 'konsumen', 'prioritaskan', 'terima kasih']",bintang jujur bagi kuota youtube buka youtube sedot kuota utama kuota utama habis tidak buka youtube paket kuota youtube utuh bodoh tolong nyaman percaya konsumen prioritas terima kasih
"['bagus', 'bikin', 'stres', 'sih', 'sinyal', 'gangguan', 'ulangi', 'ulang', 'loh', 'kuota', 'kasih', 'solusi', 'daring', 'nya', 'loh', 'susah']",bagus bikin stres sih sinyal ganggu ulang ulang loh kuota kasih solusi daring nya loh susah
"['kuota', 'unlimited', 'nyala', 'buka', 'aplikasi', 'xl', 'error', 'buka', 'youtube', 'muter', 'berulang', 'kali', 'mati', 'data', 'mati', 'daya', 'berulang', 'kali', 'kuota', 'tidak', 'pakai']",kuota unlimited nyala buka aplikasi xl error buka youtube muter ulang kali mati data mati daya ulang kali kuota tidak pakai
"['sinyalnya', 'kotoran', 'kartu', 'tri', 'bela', 'masuk', 'pindah', 'xl', 'jangan', 'berkelanjutan', 'yaa', 'tolong', 'secepatnya', 'jangan', 'gampang', 'sinyalnya', 'mendung', 'hujan', 'maklumin', 'cerah', 'banget', 'masak', 'melulu']",sinyal kotor kartu tri bela masuk pindah xl jangan lanjut yaa tolong cepat jangan gampang sinyal mendung hujan maklumin cerah banget masak melulu
"['tolong', 'aplikasi', 'perbaikan', 'terbaru', 'buka', 'my', 'xl', 'masukkan', 'akun', 'alasan', 'koneksi', 'bermasalah', 'sekalinya', 'nonton', 'yt', 'dan lain lain', 'lancar', 'jaya', 'minggu', 'terbaru', 'hasilnya', 'kayak', 'gitu', 'bodoh']",tolong aplikasi baik baru buka my xl masuk akun alas koneksi masalah sekali nonton yt dan lain lain lancar jaya minggu baru hasil kayak gitu bodoh
"['woi', 'provider', 'sampah', 'tolol', 'kuota', 'internet', 'tidak', 'jalan', 'anjing', 'dipake', 'main', 'game', 'siput', 'loncat', 'melulu', 'provider', 'sampah', 'anjing', 'gini', 'provider', 'terlaris', 'lawak', 'konyol']",woi provider sampah tolol kuota internet tidak jalan anjing dipake main game siput loncat melulu provider sampah anjing gin provider laris lawak konyol
"['permisi', 'jaringan', 'error', 'sinyal', 'penuh', 'pas', 'buka', 'game', 'pakai', 'kuota', 'tidak', 'muter', 'tolong', 'diperbaiki', 'ganti', 'kartu', 'terima kasih']",permisi jaring error sinyal penuh pas buka game pakai kuota tidak muter tolong baik ganti kartu terima kasih
"['parah', 'banget', 'njirr', 'xl', 'isi', 'pulsa', 'gk', 'aktifin', 'data', 'pulsa', 'ambil', 'ambilnya', 'tinggal', 'sisa', 'beli', 'paket', 'game', 'ml', 'eh', 'pas', 'mengisi', 'pulsa', 'paket', 'game', 'ml', 'gk', 'males', 'banget', 'terpaksa', 'beli', 'itupun', 'padahalkan', 'sumpah', 'sesal', 'banget', 'xl']",parah banget njirr xl isi pulsa gk aktifin data pulsa ambil ambil tinggal sisa beli paket game ml eh pas isi pulsa paket game ml gk males banget paksa beli itu padahal sumpah sesal banget xl
"['bintang', 'pulsa', 'dikuras', 'operator', 'tidak', 'kartu', 'beli', 'paket', 'paketnya', 'tidak', 'masuk', 'pulsanya', 'dikuras', 'mohon', 'aplikasi', 'perbaiki']",bintang pulsa kuras operator tidak kartu beli paket paket tidak masuk pulsa kuras mohon aplikasi baik
"['kecewa', 'kemarin', 'top', 'up', 'paket', 'data', 'voucer', 'ekstra', 'kombo', 'lita', 'kemarin', 'notif', 'berhasil', 'eh', 'hilang', 'beli']",kecewa kemarin top up paket data voucer ekstra kombo lita kemarin notif hasil eh hilang beli
"['paket', 'xtra', 'unlimited', 'turbo', 'premium', 'rupiah', 'ribu', 'cek', 'pilihan', 'paket', 'menarik', 'aplikasi', 'myxl', 'informasi', 'isi', 'pesan', 'gini']",paket xtra unlimited turbo premium rupiah ribu cek pilih paket tarik aplikasi myxl informasi isi pesan gin
"['aplikasi', 'operator', 'menunjang', 'kemudahan', 'cek', 'pulsa', 'kuota', 'aktif', 'promo', 'dan seterusnya', 'xl', 'my', 'xl', 'mendasar', 'myxl', 'fitur', 'pengunci', 'pulsa', 'dimiliki', 'myaxis', 'notabene', 'anak', 'xl', 'pengunci', 'pulsa', 'menghindari', 'pulsa', 'berkurang', 'otomatis', 'termakan', 'data', 'internet', 'promo', 'memakai', 'pulsa', 'semoga', 'myxl', 'menyusul']",aplikasi operator tunjang mudah cek pulsa kuota aktif promo dan terus xl my xl dasar myxl fitur kunci pulsa milik myaxis notabene anak xl kunci pulsa hindar pulsa kurang otomatis makan data internet promo pakai pulsa moga myxl susul
"['terbaru', 'masuk', 'kembalinya', 'susah', 'anak', 'kost', 'kost', 'lantai', 'lantai', 'dan lain lain', 'lantai', 'dasar', 'kehalang', 'beton', 'lantai', 'langsung', 'tidak', 'sinyal', 'aduuh', 'xl', 'kapok', 'berlangganan', 'bulanan']",baru masuk kembali susah anak kost kost lantai lantai dan lain lain lantai dasar halang beton lantai langsung tidak sinyal aduuh xl kapok langgan bulan
"['jaringan', 'xl', 'lambat', 'banget', 'beli', 'paket', 'buka', 'sw', 'menunggu', 'banget', 'kaya', 'pakai', 'gratisan', 'kuota', 'nya', 'boros', 'habis', 'tu', 'iya']",jaring xl lambat banget beli paket buka sw tunggu banget kaya pakai gratis kuota nya boros habis tu iya
"['hak', 'pengguna', 'hilang', 'jaringan', 'jelek', 'salah', 'bukan', 'kota', 'kota', 'keluhannya', 'jangan', 'pasca', 'bayar', 'donk', 'kaum', 'pra', 'bayar']",hak guna hilang jaring jelek salah bukan kota kota keluh jangan pasca bayar donk kaum pra bayar
"['xl', 'jaringannya', 'lelet', 'kemarin', 'pas', 'udh', 'tidak ada', 'sinyal', 'udh', 'coba', 'biar', 'sinyal', 'tidak ada', 'hasil', 'tolong', 'iya', 'xl']",xl jaring lelet kemarin pas udh tidak ada sinyal udh coba biar sinyal tidak ada hasil tolong iya xl
"['myxl', 'keren', 'pengaturan', 'pemotongan', 'pulsa', 'data', 'sms', 'berbayar', 'penggantian', 'kartu', 'hangus', 'app', 'coba', 'sih', 'all', 'keren', 'ditunggu', 'inovasi', 'barunya', 'iya']",myxl keren atur potong pulsa data sms bayar ganti kartu hangus app coba sih all keren tunggu inovasi baru iya
"['bintang', 'pelayanan', 'sinyal', 'keamanan', 'tidak', 'iya', 'kuota', 'utama', 'jangan', 'kuota', 'malamnya', 'tidak', 'terpakai', 'malam', 'ngantuk']",bintang layan sinyal aman tidak iya kuota utama jangan kuota malam tidak pakai malam ngantuk
"['gk', 'pembagian', 'kuota', 'nya', 'kuota', 'unlimited', 'akses', 'youtube', 'eh', 'sedot', 'kuota', 'utama', 'pas', 'streaming', 'youtube', 'fungsi', 'kuota', 'akses', 'unlimited', 'youtube', 'nya', 'kuota', 'utama', 'nya', 'sedot']",gk bagi kuota nya kuota unlimited akses youtube eh sedot kuota utama pas streaming youtube fungsi kuota akses unlimited youtube nya kuota utama nya sedot
"['jaringan', 'ga', 'stabil', 'jumat', 'minggu', 'jaringan', 'muncul', 'cuman', 'jam', 'terhambat', 'pekerjaan', 'xl', 'bersaing', 'operator', 'iya', 'jaringan', 'diperbaiki', 'bukan', 'fitur', 'aplikasi', 'my', 'xl', 'nya']",jaring ga stabil jumat minggu jaring muncul cuman jam hambat kerja xl saing operator iya jaring baik bukan fitur aplikasi my xl nya
"['kesel', 'banget', 'xl', 'beli', 'paketan', 'semingguan', 'sinyal', 'internet', 'lancar', 'giliran', 'beli', 'giga', 'sinyal', 'kaya', 'kentut', 'mubazir', 'bikin', 'laporan', 'ga', 'perubahan', 'bintang', 'minus', 'kasih', 'tu', 'bintang']",kesel banget xl beli paket minggu sinyal internet lancar gilir beli giga sinyal kaya kentut mubazir bikin lapor ga ubah bintang minus kasih tu bintang
"['gak', 'berguna', 'hujan', 'jaringan', 'kedepan', 'terganggu', 'jujur', 'beda', 'telkomsel', 'telkomsel', 'cuaca', 'hujan', 'gangguan', 'sinyal', 'jam', 'xl', 'transfer', 'susah', 'internet', 'gak', 'coba', 'pakai', 'xl', 'menyesal', 'pakai', 'xl']",gak guna hujan jaring depan ganggu jujur beda telkomsel telkomsel cuaca hujan ganggu sinyal jam xl transfer susah internet gak coba pakai xl sesal pakai xl
"['mohon', 'maaf', 'beli', 'voucer', 'bonus', 'kuota', 'tiktok', 'youtube', 'instagram', 'pilih', 'tiktok', 'instagram', 'error', 'melulu', 'milih', 'yt', 'lancar', 'jaya', 'teknik', 'pemasaran']",mohon maaf beli voucer bonus kuota tiktok youtube instagram pilih tiktok instagram error melulu milih yt lancar jaya teknik pasar
"['iya', 'terbaru', 'minggu', 'terbaru', 'engga', 'terbaru', 'engg', 'dipakai', 'aplikasi', 'nya', 'terima kasih', 'by', 'kidor']",iya baru minggu baru engga baru engg pakai aplikasi nya terima kasih by kidor
"['aplikasi', 'terbaru', 'sinyal', 'lelet', 'pengguna', 'xl', 'xl', 'mementingkan', 'terbaru', 'aplikasi', 'paket', 'data', 'jaringan', 'bukan', 'nya', 'kencang', 'lelet', 'bandingkan', 'smarfren', 'kencang', 'smarfren', 'bandingkan', 'xl', 'paket', 'kuota', 'mahal', 'sinyal', 'turun', 'jujur', 'kecewa', 'tindak', 'nyaman', 'main', 'game', 'kartu', 'xl', 'berhenti', 'berlangganan']",aplikasi baru sinyal lelet guna xl xl penting baru aplikasi paket data jaring bukan nya kencang lelet banding smarfren kencang smarfren banding xl paket kuota mahal sinyal turun jujur kecewa tindak nyaman main game kartu xl henti langgan
"['paket', 'ditawarkan', 'jebakannya', 'hati', 'hati', 'penawaran', 'paket', 'murah', 'hati', 'hati', 'beli', 'kali', 'terakumulasi', 'maksimal']",paket tawar jebak hati hati tawar paket murah hati hati beli kali akumulasi maksimal
"['membeli', 'paket', 'memperpanjang', 'sisa', 'paket', 'dihabiskan', 'kuota', 'aplikasi', 'myxl', 'error', 'gmn', 'iya', 'bantu']",beli paket panjang sisa paket habis kuota aplikasi myxl error gmn iya bantu
"['hallo', 'kakak', 'isi', 'ulang', 'pulsa', 'membeli', 'paket', 'aplikasi', 'kuota', 'tidak']",hallo kakak isi ulang pulsa beli paket aplikasi kuota tidak
"['xl', 'iya', 'transfer', 'pulsa', 'paketan', 'anak', 'jakarta', 'error', 'aktif', 'mohon', 'perbaiki', 'secepatnya']",xl iya transfer pulsa paket anak jakarta error aktif mohon baik cepat
"['pelayanan', 'buruk', 'langsung', 'pesan', 'tidak', 'solusi', 'terkait', 'dihadapi', 'konsumen', 'tidak', 'aktivasi', 'paket', 'disuruh', 'registrasi', 'ulang', 'gagal', 'registrasi', 'ulang', 'operator', 'sampah', 'pindah', 'operator']",layan buruk langsung pesan tidak solusi kait hadap konsumen tidak aktivasi paket suruh registrasi ulang gagal registrasi ulang operator sampah pindah operator
"['aplikasi', 'puas', 'diskon', 'kuota', 'pengeluaran', 'hemat', 'sinyal', 'kadang', 'bikin', 'emosi']",aplikasi puas diskon kuota keluar hemat sinyal kadang bikin emosi
"['xl', 'ayo', 'sinyal', 'ku', 'capek', 'nii', 'main', 'game', 'lag', 'melulu', 'kirim', 'seluler', 'ku', 'jaringan', 'kirim', 'game', 'nya', 'jaringannya', 'uda', 'doang', 'terlanjur', 'ganti', 'kartu', 'iya', 'ku', 'mohon', 'tolong', 'iya', 'iya', 'beneran', 'sumpah', 'gk', 'bohong', 'hnan', 'pakai', 'xl', 'gk', 'gini', 'ayo']",xl ayo sinyal ku capek nii main game lag melulu kirim seluler ku jaring kirim game nya jaring uda doang lanjur ganti kartu iya ku mohon tolong iya iya beneran sumpah gk bohong hnan pakai xl gk gin ayo
"['uh', 'halo', 'kak', 'memiliki', 'utang', 'membeli', 'pulsa', 'pulsa', 'tidak', 'terpotong', 'nya', 'terpotong', 'tagihan', 'pulsa', 'tidak', 'kesalahan', 'cek', 'penggunaan', 'pinjaman', 'pulsa', 'tagihan', 'nya']",uh halo kak milik utang beli pulsa pulsa tidak potong nya potong tagih pulsa tidak salah cek guna pinjam pulsa tagih nya
"['aplikasi', 'melulu', 'ga', 'respawn', 'melulu', 'tidak', 'beli', 'paket', 'aplikasi', 'tidak bisa', 'no', 'respawn', 'ujung', 'ujung', 'nya', 'sedot', 'pulsa', 'paket', 'tidak', 'beli', 'pulsa', 'habis']",aplikasi melulu ga respawn melulu tidak beli paket aplikasi tidak bisa no respawn ujung ujung nya sedot pulsa paket tidak beli pulsa habis
"['xl', 'bukan', 'nya', 'bagus', 'buruk', 'gk', 'sesuai', 'slogan', 'tolong', 'dengar', 'pemakai', 'xl', 'kalah', 'saing', 'tsel', 'bukan', 'kantor', 'jaringan', 'xl', 'udh', 'buang', 'kartu', 'xl']",xl bukan nya bagus buruk gk sesuai slogan tolong dengar pakai xl kalah saing tsel bukan kantor jaring xl udh buang kartu xl
"['langsung', 'pesan', 'tidak', 'kaya', 'bicara', 'robot', 'isi', 'paketan', 'siang', 'masuk', 'pelayanan', 'buruk', 'sinyal', 'parah', 'kecewa']",langsung pesan tidak kaya bicara robot isi paket siang masuk layan buruk sinyal parah kecewa
"['gk', 'niat', 'diskon', 'lebih baik', 'gk', 'deh', 'cek', 'diskon', 'ribu', 'isi', 'pulsa', 'paket', 'paketin', 'sms', 'konsumen', 'setia', 'xl', 'kesalahan', 'aktivasi', 'cek', 'promo', 'nya', 'hilang', 'normal', 'ribu', 'parah', 'parah', 'gini', 'gk', 'mengisi', 'pulsa']",gk niat diskon lebih baik gk deh cek diskon ribu isi pulsa paket paketin sms konsumen setia xl salah aktivasi cek promo nya hilang normal ribu parah parah gin gk isi pulsa
"['kartu', 'kosong', 'sinyalnya', 'ceritanya', 'pakai', 'hilang', 'ga', 'aktif', 'paketan', 'kepakai', 'am', 'kosong', 'sinyalnya', 'tidak', 'rekomendasi', 'iya', 'main', 'game', 'jangan', 'harap', 'lancar', 'iya']",kartu kosong sinyal cerita pakai hilang ga aktif paket pakai am kosong sinyal tidak rekomendasi iya main game jangan harap lancar iya
"['tidak', 'membeli', 'kuota', 'unlimited', 'ekstra', 'kombo', 'vip', 'plus', 'klik', 'beli', 'paket', 'tulisan', 'tidak', 'pilihan', 'paket', 'coba', 'terbaru', 'aplikasinya', 'ttep', 'gmn', 'solusinya']",tidak beli kuota unlimited ekstra kombo vip plus klik beli paket tulis tidak pilih paket coba baru aplikasi ttep gmn solusi
"['parah', 'parah', 'jaringan', 'hilang', 'hilang', 'sinyal', 'butuh', 'banget', 'jaringan', 'komunikasi', 'ehh', 'sinyal', 'jelek', 'kecewa', 'kecewa', 'xl', 'maaf', 'tertawa', 'maaf', 'tidak', 'menyelesaikan', 'boss', 'lebih baik', 'pindah', 'tsel', 'kyak', 'gini']",parah parah jaring hilang hilang sinyal butuh banget jaring komunikasi ehh sinyal jelek kecewa kecewa xl maaf tertawa maaf tidak selesai boss lebih baik pindah tsel kyak gin
"['ga', 'langganan', 'paket', 'promonya', 'aplikasi', 'harga', 'seh', 'murah', 'jaringan', 'parah', 'banget', 'paket', 'normal', 'jaringan', 'ga', 'kencang', 'provider', 'memperbaiki', 'telepon']",ga langgan paket promonya aplikasi harga seh murah jaring parah banget paket normal jaring ga kencang provider baik telepon
"['maaf', 'buka', 'myxl', 'ambil', 'kuota', 'unlimited', 'gratis', 'pas', 'buka', 'aplikasinya', 'muncul', 'myxl', 'tidak', 'menanggapi', 'kendala', 'kaya', 'gitu', 'mohon', 'bantuan', 'nya', 'ambil', 'kuota', 'unlimited', 'gratis', 'terima', 'kasih']",maaf buka myxl ambil kuota unlimited gratis pas buka aplikasi muncul myxl tidak tanggap kendala kaya gitu mohon bantu nya ambil kuota unlimited gratis terima kasih
"['parah', 'jaringan', 'nya', 'capek', 'protes', 'melulu', 'banget', 'telepon', 'gak', 'gtu', 'gtu', 'telepon', 'telepon', 'malas', 'protes', 'telepon', 'kacau', 'banget', 'buka', 'aplikasi', 'langsung', 'langsung', 'silang', 'kadang', 'pas', 'aplikasi', 'eh', 'nongol', 'nya', 'coba', 'emang', 'mengisi', 'data', 'bukan', 'pakai']",parah jaring nya capek protes melulu banget telepon gak gtu gtu telepon telepon malas protes telepon kacau banget buka aplikasi langsung langsung silang kadang pas aplikasi eh nongol nya coba emang isi data bukan pakai
"['myxl', 'ga', 'kali', 'beli', 'paket', 'internet', 'tidak', 'pakai', 'tidak', 'uang', 'habis', 'beli', 'paket', 'internet', 'an', 'malam', 'pagi', 'beli', 'paket', 'internet', 'vip', 'tidak', 'sinyalnya', 'parah', 'lelet', 'banget', 'tolong', 'diperbaiki', 'sinyal', 'jaringan', 'nya', 'konsumen', 'setia', 'myxl', 'kaya', 'gini', 'sih', 'ga', 'kemajuanya']",myxl ga kali beli paket internet tidak pakai tidak uang habis beli paket internet an malam pagi beli paket internet vip tidak sinyal parah lelet banget tolong baik sinyal jaring nya konsumen setia myxl kaya gin sih ga kemajuanya
