Stopword Removal,Stemming
"['buset', 'sinyal', 'nya', 'tinggal', 'kota', 'berasa', 'tinggal', 'hutan', 'gak', 'sinyal', 'jaringan', 'doang', 'internet', 'nya', 'bobrok']",buset sinyal nya tinggal kota asa tinggal hutan gak sinyal jaring doang internet nya bobrok
"['xl', 'sinyalnya', 'bagus', 'pakai', 'kartu', 'xl', 'th', 'kartu', 'ganti', 'kartu', 'xl', 'kartu', 'utamaku']",xl sinyal bagus pakai kartu xl th kartu ganti kartu xl kartu utama
"['tidak', 'berlangganan', 'suasana', 'musik', 'main', 'potong']",tidak langgan suasana musik main potong
"['pesan', 'maya', 'kaya', 'orang', 'bego', 'ga', 'respon', 'aplikasi', 'ga']",pesan maya kaya orang bego ga respon aplikasi ga
"['tolong', 'cs', 'langsung', 'pesan', 'tanggap', 'sinyal', 'daerah', 'turun']",tolong cs langsung pesan tanggap sinyal daerah turun
"['kesini', 'gak', 'susah', 'komunikasi', 'langsung', 'konsumen', 'servis']",kesini gak susah komunikasi langsung konsumen servis
"['tolong', 'kakak perempuan', 'maya', 'jaringan', 'kampung', 'kesini', 'jelek', 'jaringan', 'xl', 'lihat', 'youtube', 'lambat', 'jaringan', 'jarang', 'penuh', 'bayak', 'tidak', 'penuh', 'telepon', 'seluler', 'putus', 'putus', 'tolong', 'perbaiki', 'terima', 'kasih']",tolong kakak perempuan maya jaring kampung kesini jelek jaring xl lihat youtube lambat jaring jarang penuh bayak tidak penuh telepon seluler putus putus tolong baik terima kasih
"['iya', 'data', 'ga', 'timbun', 'data', 'kemarin', 'pas', 'beli', 'kuota', 'hilang', 'nya', 'ga', 'rugi', 'iya']",iya data ga timbun data kemarin pas beli kuota hilang nya ga rugi iya
"['unlimited', 'turbo', 'kuota', 'utama', 'habis', 'unlimited', 'nya', 'loading', 'lancar', 'bagus', 'loading', 'gk', 'lancar', 'tolong', 'perbaiki']",unlimited turbo kuota utama habis unlimited nya loading lancar bagus loading gk lancar tolong baik
"['xl', 'gini', 'males', 'sia', 'uang', 'kuota', 'tidak', 'sedang apa', 'dahlah']",xl gin males sia uang kuota tidak sedang apa dah
"['tidak', 'rekomendasikan', 'xl', 'kesini', 'buruk', 'gak', 'suka', 'pokoknyaa', 'gak', 'pakai', 'xl']",tidak rekomendasi xl kesini buruk gak suka pokoknyaa gak pakai xl
"['sinyal', 'benerin', 'bos', 'ujan', 'jelek', 'nh', 'sinyal', 'jakarta', 'barat', 'paket', 'mahal', 'kualitas', 'kaya', 'murah']",sinyal benerin bos ujan jelek nh sinyal jakarta barat paket mahal kualitas kaya murah
"['pembelian', 'paket', 'kuota', 'tidak', 'bertambah', 'tergantikan']",beli paket kuota tidak tambah ganti
"['membantu', 'paket', 'nya', 'murah', 'meriah', 'pas', 'kantong']",bantu paket nya murah riah pas kantong
"['isinya', '%', 'komentar', 'negatif', 'silahkan', 'hubungi', 'maya', 'myxl', 'dan lain lain', 'jawabannya', 'mohon', 'maaf', 'silahkan', 'hubungi', 'konsumen', 'service', 'ragu']",isi  komentar negatif silah hubung maya myxl dan lain lain jawab mohon maaf silah hubung konsumen service ragu
"['aplikasi', 'bahan', 'dasar', 'pembuatan', 'situs', 'toko', 'online', 'pulsa', '&', 'paket']",aplikasi bahan dasar buat situs toko online pulsa  paket
"['coba', 'perbaiki', 'gk', 'ambil', 'hadiah', 'kasih', 'bintang']",coba baik gk ambil hadiah kasih bintang
"['kumat', 'tidak', 'stabil', 'daerah', 'pelosok', 'jaringan', 'bagus']",kumat tidak stabil daerah pelosok jaring bagus
"['jaringannya', 'hancur', 'banget', 'jaringan', 'internet', 'daerah', 'pedesaan', 'daerah', 'pedesaan', 'pakai', 'xl', 'jaringannya', 'tidak', 'perhatikan', 'tower', 'jaringan', 'buruk']",jaring hancur banget jaring internet daerah desa daerah desa pakai xl jaring tidak perhati tower jaring buruk
"['tolong', 'promo', 'kuota', 'mahal', 'ganti', 'perdana', 'terima kasih']",tolong promo kuota mahal ganti perdana terima kasih
"['gampang', 'milih', 'paketnya', 'keterangannya', 'banget', 'mantap', 'deh']",gampang milih paket terang banget mantap deh
"['my', 'xl', 'kali', 'bilang', 'maya', 'bilangnya', 'suruh', 'copot', 'coba', 'unduh', 'hapus', 'data', 'kali', 'gak', 'pengguna', 'ganti', 'seluler', 'unduh', 'seluler', 'tidak', 'gak', 'bantu', 'si', 'maya', 'terpaksa', 'ganti', 'kartu', 'kecewa']",my xl kali bilang maya bilang suruh copot coba unduh hapus data kali gak guna ganti seluler unduh seluler tidak gak bantu si maya paksa ganti kartu kecewa
"['bagus', 'eh', 'bohong']",bagus eh bohong
"['sekolah', 'pakai', 'xl', 'tolong', 'iya', 'kak', 'jaringan', 'xl', 'stabilkan', 'sukses', 'xl', 'axiata']",sekolah pakai xl tolong iya kak jaring xl stabil sukses xl axiata
"['pembelian', 'paket', 'tidak', 'heran', 'kesalahan', 'maksudnya', 'xl', 'ngk']",beli paket tidak heran salah maksud xl ngk
"['kartu', 'xl', 'sinyal', 'nya', 'kayak', 'sampah', 'bawa', 'sinyal', 'nya', 'hilang', 'hilang', 'kecewa', 'berat', 'pakai', 'kartu', 'maaf', 'provider', 'xl', 'gak', 'pakai', 'kartu', 'rugi']",kartu xl sinyal nya kayak sampah bawa sinyal nya hilang hilang kecewa berat pakai kartu maaf provider xl gak pakai kartu rugi
